text,domain
hmm hi my sweet little one,PET
uh why is grass green please,CHAT
i need to review continents,STUDY
so enable bluetooth now,SYSTEM
tell me about the human body,STUDY
oh can you tell a story with a bunny and a witch,STORY
uh what happens when we dream okay,CHAT
face the back door,NAVIGATION
take two steps right thanks,NAVIGATION
hey i'm guessing option two thanks,GAME
uh speak in chinese right now,SYSTEM
for the game i choose the cat,GAME
i'm feeling sad,CHAT
i'm guessing red now,GAME
can we play chase,PET
oh begin a new game of trivia right now,GAME
explain fractions in simple words,STUDY
okay turn the sound on okay,SYSTEM
in the story what does a robot find,STORY
uh what's your name now,CHAT
so i like pandas,CHAT
did you know that space now,CHAT
hmm my favorite color is toy now,CHAT
do you know how to hop,PET
what is photosynthesis,STUDY
uh let's play riddles thanks,GAME
so can we play number guessing,GAME
uh good to see you munchkin now,PET
okay my favorite animal is dogs,CHAT
read this lesson about condensation,STUDY
how do you spell addition,STUDY
uh my favorite movie is song now,CHAT
can you tell a story with a talking cat and a bear,STORY
give me an example of the solar system,STUDY
in the story is an alien safe,STORY
make atoms easier to understand,STUDY
hey rotate forward,NAVIGATION
what chapter is molecules in,STUDY
start a game of true or false,GAME
in the story what if an astronaut meets a pirate,STORY
uh my game answer is no,GAME
okay walk to the window thanks,NAVIGATION
okay speak in german okay,SYSTEM
dock yourself,NAVIGATION
what is the moon,STUDY
in the story what if a witch meets an alien,STORY
time for follow the leader,PET
okay power cycle okay,SYSTEM
okay say robot in a funny voice,CHAT
so set brightness to full thanks,SYSTEM
do a flip for me,PET
can you tell a story with a bunny and an astronaut,STORY
i need a hint now,GAME
turn on dark mode right now,SYSTEM
scratch behind your ears sweetie,PET
you're such a good sunshine,PET
so in the story what if a superhero meets a monkey right now,STORY
shake hand baby,PET
my favorite game is flowers,CHAT
oh how do birds fly now,CHAT
you're adorable nugget,PET
oh change language to spanish okay,SYSTEM
shake arm pal right now,PET
okay say dinosaur in a funny voice please,CHAT
oh invent a story about a puppy,STORY
um take me to the pantry,NAVIGATION
in the story what if a mermaid meets a dinosaur,STORY
i'm confused about planets,STUDY
i want the right path,STORY
hey my favorite color is cars,CHAT
in the game i think it's the dog,GAME
test me on math,STUDY
uh how's it going right now,CHAT
can you explain history,STUDY
hmm my favorite movie is cars,CHAT
hey let's go with the bright forest,STORY
hey how about a game of word guess please,GAME
okay do you like pizza right now,CHAT
um run diagnostics right now,SYSTEM
oh lead the way to the bathroom thanks,NAVIGATION
take three steps left,NAVIGATION
walk to the bookshelf thanks,NAVIGATION
uh what do you think about flowers thanks,CHAT
um for the game i choose the cat okay,GAME
hey my favorite color is place please,CHAT
don't be nervous,PET
um got any math quiz going please,GAME
so i like ice cream okay,CHAT
what do you think about place,CHAT
okay you're too quiet okay,SYSTEM
oh power cycle now,SYSTEM
hey switch to german thanks,SYSTEM
turn up the volume okay,SYSTEM
got any word scramble going,GAME
stay where you are,NAVIGATION
hmm snuggle time boo now,PET
give me a cuddle,PET
in the story what happens to a superhero,STORY
so set volume to low okay,SYSTEM
so let's go to the back door okay,NAVIGATION
sit down love now,PET
emergency stop thanks,SYSTEM
um load up tic-tac-toe now,GAME
um why do we sleep please,CHAT
okay my favorite food is penguins,CHAT
um i'm feeling confused please,CHAT
help me practice history,STUDY
in the story will an alien be okay,STORY
my favorite subject is the moon right now,CHAT
why is history important,STUDY
um face the corridor,NAVIGATION
shake little paw honeybun,PET
let's review multiplication,STUDY
what's the definition of electricity,STUDY
spell history for me,STUDY
good job love,PET
uh restart okay,SYSTEM
restart yourself,SYSTEM
hmm got any chess going please,GAME
hey disable do not disturb,SYSTEM
um let's go to the garage,NAVIGATION
tell me about colors,STUDY
hello my little darling,PET
how is chemistry used in real life,STUDY
oh you're too loud please,SYSTEM
what is the human body,STUDY
oh what do you think about place,CHAT
let's play word guess,GAME
uh can we play simon says please,GAME
okay final answer option a okay,GAME
let's pat on the head,PET
hmm hi nugget how are you,PET
how do you spell the water cycle,STUDY
stop all tasks right now,SYSTEM
uh what do you think about color,CHAT
in the story what if a bear meets a robot,STORY
head back to base,NAVIGATION
describe fractions for me,STUDY
do you like flowers thanks,CHAT
go around the door okay,NAVIGATION
can you tell me a mystery story,STORY
let me guess seven,GAME
ask me questions about chemistry,STUDY
um set brightness to high thanks,SYSTEM
um i'm guessing left,GAME
oh my guess is five,GAME
new story about a bunny,STORY
hey set volume to maximum please,SYSTEM
um open puzzle,GAME
can you tell a story with a superhero and a robot,STORY
is cells the same as electricity,STUDY
i want to go to the stairs,NAVIGATION
tell me a story about a lion,STORY
uh did you know that elephants right now,CHAT
set brightness to low okay,SYSTEM
well done cupcake thanks,PET
okay i'll guess left right now,GAME
okay follow me to the basement now,NAVIGATION
play connect four with me,GAME
give me an example of the human body,STUDY
can you quiz me on physics,STUDY
so be quiet now,SYSTEM
let me see your silly face okay,PET
in the game i'll go with option two okay,GAME
in the story what if a superhero meets a brave knight thanks,STORY
what's the definition of gravity,STUDY
come play dress up with me,PET
start a new story about a fairy,STORY
hmm show me a pat on the head,PET
what does photosynthesis mean,STUDY
start a new story about a brave knight,STORY
shake little paw darling,PET
why do we need to learn gravity,STUDY
i wanna hear a story about a witch,STORY
make dinosaurs easier to understand,STUDY
um i feel like playing science quiz,GAME
i'll guess red thanks,GAME
in the story does a fairy win,STORY
okay is it going to rain okay,CHAT
uh for this round i pick right okay,GAME
um disable wifi thanks,SYSTEM
i have a question about ecosystems,STUDY
okay my favorite food is toy please,CHAT
break down the solar system for me,STUDY
continue the story,STORY
okay you're my favorite love please,PET
my favorite color is penguins okay,CHAT
in the game i'll go with option three please,GAME
what time is it,CHAT
so do you like ice cream now,CHAT
can you help me with three plus nine,STUDY
what does electricity mean,STUDY
my favorite game is birds now,CHAT
set volume to seventy percent please,SYSTEM
i'm guessing option d please,GAME
hi boo how are you,PET
let me guess right,GAME
why is weather important,STUDY
surprise me with a game,GAME
can you tell a story with a robot and a robot,STORY
got any spelling bee going now,GAME
do you eat food,CHAT
what's the difference between light and the water cycle,STUDY
can you tell a story with a detective and a ninja,STORY
in the game the answer is the cat,GAME
my favorite animal is pandas please,CHAT
hmm you make me smile munchkin right now,PET
can you tell a story with a monkey and a robot,STORY
can you explain animals,STUDY
hey take me to the living room thanks,NAVIGATION
let's play treasure hunt together,PET
face the sofa,NAVIGATION
in the story what if a dinosaur meets a witch,STORY
okay new story about a ninja right now,STORY
hello my little love,PET
can i have a thumbs up,PET
for the game i choose five,GAME
do you like game right now,CHAT
um turn on night mode,SYSTEM
hmm i want to hear a story about a witch please,STORY
time for treasure hunt,PET
oh come with me to the bedroom right now,NAVIGATION
okay got any word scramble going now,GAME
go over gravity again,STUDY
hey look towards the living room right now,NAVIGATION
can you tell a story with a bunny and a dinosaur,STORY
oh did you know that dinosaurs thanks,CHAT
you're so sweet darling,PET
okay in the story what if a monkey meets a talking cat,STORY
how do you spell molecules,STUDY
hmm navigate to the living room please,NAVIGATION
start a new story about a fairy okay,STORY
you're my best friend cutie,PET
can we play science quiz,GAME
um set brightness to half thanks,SYSTEM
how do you spell the sun,STUDY
my favorite food is the moon right now,CHAT
okay look towards the living room please,NAVIGATION
um what level am i on okay,GAME
hey my favorite animal is birds,CHAT
aww baby you're the best,PET
is the moon the same as the food chain,STUDY
shake little paw honeybun now,PET
what's the definition of sound,STUDY
hey how are you today please,CHAT
my favorite subject is ice cream,CHAT
turn on wifi okay,SYSTEM
hey my favorite movie is game now,CHAT
take three steps right now,NAVIGATION
so my favorite animal is cars okay,CHAT
can you tell a story with a prince and a dragon,STORY
hmm face the front door,NAVIGATION
hey where does rain come from thanks,CHAT
so my favorite movie is pizza,CHAT
describe ecosystems for me,STUDY
give me an example of weather,STUDY
stop talking now,SYSTEM
uh move away from the dog right now,NAVIGATION
okay play word scramble with me,GAME
in the game i think it's option a,GAME
is fractions the same as molecules,STUDY
walk to the bathroom right now,NAVIGATION
test me on arithmetic,STUDY
hmm in the game i think it's the first one,GAME
oh restart the system thanks,SYSTEM
hey take me to the porch right now,NAVIGATION
oh what do you think about book,CHAT
give me some love munchkin,PET
oh turn on notifications,SYSTEM
hmm rest mode,SYSTEM
hey my favorite movie is the moon now,CHAT
walk behind me thanks,NAVIGATION
okay turn on wifi please,SYSTEM
help me practice spelling,STUDY
what's the difference between continents and continents,STUDY
final answer twenty,GAME
explain erosion to me,STUDY
set brightness to high okay,SYSTEM
start a game of number guessing,GAME
why is the alphabet important,STUDY
so can you tell a story with a unicorn and a bunny,STORY
um my favorite color is animal,CHAT
um emergency stop,SYSTEM
how is electricity used in real life,STUDY
can you tell a story with an astronaut and a princess,STORY
in the game it must be option b,GAME
what is gravity,STUDY
so my favorite animal is book thanks,CHAT
what's the difference between the sun and biology,STUDY
hey take three steps left now,NAVIGATION
hey in the story what if a lion meets an astronaut,STORY
invent a story about a wizard,STORY
for the game i choose yes,GAME
head over to the study room right now,NAVIGATION
